Title,Artist
"Way Maker","Leeland"
"Build My Life","Pat Barrett"
"Graves Into Gardens","Elevation Worship"
"Goodness Of God","Bethel Music"
"Living Hope","Phil Wickham"
"Great Are You Lord","All Sons & Daughters"
"What A Beautiful Name","Hillsong Worship"
"Who You Say I Am","Hillsong Worship"
"Raise A Hallelujah","Bethel Music"
"This Is Amazing Grace","Phil Wickham"
"King Of Kings","Hillsong Worship"
"10,000 Reasons","Matt Redman"
"Great Things","Phil Wickham"
"Glorious Day","Passion"
"Lord I Need You","Matt Maher"
"In Christ Alone","Keith Getty & Stuart Townend"
"The Lion And The Lamb","Bethel Music"
"How Great Is Our God","Chris Tomlin"
"The Blessing","Kari Jobe & Cody Carnes"
"Cornerstone","Hillsong Worship"
"See A Victory","Elevation Worship"
"Reckless Love","Cory Asbury"
"King Of My Heart","John Mark & Sarah McMillan"
"O Come To The Altar","Elevation Worship"
"Amazing Grace (My Chains Are Gone)","Chris Tomlin"
"O Praise The Name (An'e1stasis)","Hillsong Worship"
"Good Good Father","Chris Tomlin"
"How Great Thou Art","Traditional"
"Battle Belongs","Phil Wickham"
"Yes I Will","Vertical Worship"
"Revelation Song","Kari Jobe"
"Holy Spirit","Bryan & Katie Torwalt"
"Do It Again","Elevation Worship"
"Hymn Of Heaven","Phil Wickham"
"Is He Worthy","Andrew Peterson"
"Jesus Messiah","Chris Tomlin"
"Mighty To Save","Hillsong Worship"
"My Jesus","Anne Wilson"
"Only King Forever","Elevation Worship"
"Open The Eyes Of My Heart","Paul Baloche"
"Our God","Chris Tomlin"
"Praise Is Rising","Brenton Brown"
"Promises","Maverick City Music"
"Same God","Elevation Worship"
"Shout To The Lord","Darlene Zschech"
"This I Believe (The Creed)","Hillsong Worship"
"Tremble","Mosaic MSC"
"Worthy Of It All","David Brymer"
"Yet Not I But Through Christ In Me","CityAlight"
"House Of The Lord","Phil Wickham"
"Blessed Be Your Name","Matt Redman"
"Take You At Your Word","Cody Carnes & Benjamin Hastings"
"Victory In Jesus","Eugene M. Bartlett (Traditional Hymn)"
"His Mercy Is More","Matt Boswell & Matt Papa"
"We Praise You","Matt Redman & Brandon Lake"
"How Deep The Father's Love For Us","Stuart Townend"
"The Heart Of Worship","Matt Redman"
"Abide","Aaron Williams (The Worship Initiative)"
"Worthy","Elevation Worship"
"Praise You Anywhere","Brandon Lake"
"Jesus Paid It All","Passion (Kristian Stanfill)"
"No Longer Slaves","Bethel Music (Jonathan & Melissa Helser)"
"Made For More","Josh Baldwin"
"Agnus Dei","Michael W. Smith"
"You've Already Won","Shane & Shane"
"Because He Lives","Bill & Gloria Gaither"
"Run To The Father","Cody Carnes"
"Promises","Maverick City Music"
"Holy Water","We The Kingdom"
"Egypt","Bethel Music (Cory Asbury)"
"New Wine","Hillsong Worship"
"All Hail King Jesus","Jeremy Riddle"
"Make Room","Community Music"
"Canvas and Clay","Pat Barrett"
"Too Good To Not Believe","Bethel Music (Brandon Lake)"
"Jireh","Elevation Worship & Maverick City Music"
"Build Your Church","Elevation Worship & Maverick City Music"
"Indescribable","Chris Tomlin"
"Behold (Then Sings My Soul)","Phil Wickham"
"Highlands (Song of Ascent)","Hillsong UNITED"
"House of Miracles","Brandon Lake"
"More Than Able","Elevation Worship"
"Thank You Jesus For The Blood","Charity Gayle"
"Christ Is Mine Forevermore","CityAlight"
"Beneath The Waters (I Will Rise)","Hillsong Worship"
"Echo Holy","Red Rocks Worship"
"I Am Not Alone","Kari Jobe"
"Nothing Else","Cody Carnes"
"Good And Gracious King","CityAlight"
"Fear Is Not My Future","Maverick City Music & Elevation Worship"
"There Is A King","Elevation Worship"
"Peace Be Still","The Belonging Co (Hope Darst)"
"The Goodness of Jesus","CityAlight"
"My Worth Is Not In What I Own","Keith & Kristyn Getty"
"Hosanna","Hillsong UNITED"
"The More I Seek You","Gateway Worship (Kari Jobe)"
"Refiner's Fire","Brian Doerksen"
"Forever","Chris Tomlin"
"Holy Is The Lord","Chris Tomlin"
"I Will Follow","Chris Tomlin"
"Whom Shall I Fear (God of Angel Armies)","Chris Tomlin"
"Jesus Is Alive","Phil Wickham"
"Behold Our God","Sovereign Grace Music"
"All I Have Is Christ","Sovereign Grace Music"
"Not What My Hands Have Done","Sovereign Grace Music"
"O Church Arise","Keith Getty & Stuart Townend"
"Come Behold The Wondrous Mystery","Matt Papa & Matt Boswell"
"Holy Spirit","Bryan & Katie Torwalt"
"Spirit Lead Me","Influence Music (Michael Ketterer)"
"Rest On Us","Maverick City Music / UPPERROOM"
"Fall Afresh","Jeremy Riddle / Bethel Music"
"When I Survey The Wondrous Cross","Traditional Hymn (Isaac Watts)"
"Nothing But The Blood","Traditional Hymn (Robert Lowry)"
"Man of Sorrows","Hillsong Worship"
